No;Abstract;
1;Berkembangnya teknologi dan kebutuhan akan informasi menyebabkan bertambah kompleknya informasi yang harus dan bisa diolah, sehingga kebutuhan beberapa jaringan komputer yang lebih dikenal dengan nama internet semakin diperlukan. Berbagai macam tekhnologi internet bisa digunakan seperti Word Wide Web yang mampu mengolah informasi. Proses pengolahan informasi dengan memanfaatkan teknologi web menyebabkan web menjadi media informasi yang dinamis.STMIK SAMARINDA yang merupakan perguruan tinggi terkemuka pada saat ini telah memanfaatkan teknologi informasi untuk menunjang pengelolaan berbagai informasi tentang STMIK SAMARINDA dengan membangun sebuah website, dalam penelitian yang dilakukan ini, website yang lama banyak kelemahan dari segi penyajian informasi, dan belum adanya Sistem Infomasi Akademik yang melibatkan interaksi antara mahasiswa dan pihak STMIK itu sendiri.Dari permasalahan tersebut maka dicarilah solusi pemahasannya dengan merancangan website baru STMIK SAMARINDA yang lebih dinamis, yang memiliki isi yang baik serta menghasilkan informasi yang tersaji dengan cepat lengkap dan sangat mudah dalam updating atau maintence dari web tersebut serta didukung dengan metode OOAD (Object Oriented Analysis and Design) dalam rekayasa software dan PHP sebagai software pembuat web.Pada perancangan website baru yang ini, lebih dinamis dari web yang lama dan diharapakan dapat sebagai gambaran bagi pengembangan website STMIK SAMARINDA ke masa yang akan datang.;
2;Pengembangan Sistem Informasi Aplikasi Tabungan Siaga pada Unit Usaha Simpan Pinjam di Koperasi Karyawan PT. Pindad Bandung merupakan hal yang biasa terjadi di suatu koperasi atau instansi, begitu pula yang terjadi di kopkar PT. Pindad Bandung. Mengingat proses tabungan yang begitu kompleks maka diperlukan sistem informasi yang baik.Proses Tabungan Siaga terjadi di Usipa Kopkar PT. Pindad melibatkan beberapa bidang, di antaranya Bidang Administrasi pembukuan dan bidang pengolahan data keuangan, yang kesemuanya berperan penting dalam proses pengambilan keputusan.Untuk itu, dalam membantu proses Tabungan Siaga tersebut diperlukan sistem informasi yang lebih baik dan dapat mengatasi permasalahan yang ada, seperti dalam proses pembuatan kwitansi tabungan yang masih dilakukan secara manual. Oleh karena itu, penulis merancang sistem informasi yang lebih baik dengan tidak mengubah sistem yang sedang berjalan, dengan cara mengkomputerisasikan sistem sehingga dapat menghasilkan informasi yang cepat, akurat dan relevan serta diharapkan dapat mengatasi kendala ? kendala yang dihadapi.;
3;SMUN 1 Ciamis merupakan sebuah lembaga pendidikan pemerintah yang bertugas menyelenggarakan kegiatan pendidikan di tingkat atas dengan tujuan mencerdaskan kehidupan bangsa terutama generasi muda.Dalam Penulisan skripsi ini, penulis menganalisis pengolahan data keuangan sekolah yang menyangkut pendapatan serta pengeluarannya yang dilakukan para perangkat sekolah seperti petugas tata usaha yang melakukan proses pengolahan keuangan sekolah yang dilaporkan per tahun ajaran.Ada beberapa masalah yang dihadapi oleh SMUN 1 Ciamis terutama pada proses pengolahan data keuangan beserta pelaporannya diamana sering terjadi kesalahan dan keterlambatan. Untuk itu, diperlukan suatu aplikasi yang mampu mendukung pengembilan keputusan dalam memperoleh informasi yang optimal.Untuk mengatasi masalah ini, penulis membuat suatu program aplikasi sehingga diharapkan mampu meningkatkan efisiensi dan efektivitas kerja yang ada serta dapat mengupayakan pelayanan yang lebih baik untuk masa yang akan datang, permasalahan ini dapat di pecahkan dapat dilihat dengan proses pengolahan data dimana data yang diolah tingkat kesalahan penulisan dapat diminimalis selain itu proses pembuatan nilai dapat dengan mudah dan cepat dan akurat dalam penghitungan nilainnya.;
4;SMA AL-FIIL Soreang sebagai suatu lembaga pendidikan Swasta yang ada di kabupaten bandung, dalam menyelenggarakan pendidikan masih menemui beberapa masalah, diantaranya pengolahan data akademik seperti data guru, data siswa, yang masih diolah menggunakan buku catatan dan Ms Office, serta tidak adanya sistem yang yang memfasilitasi siswa untuk melakukan kegiatan belajar mengajar selain disekolah menyebabkan kegiatan belajar mengajar kurang efektif dan efisien. Oleh karena itu perlu diadakan solusi untuk mengatasi permasalahan tersebut dengan merancang sebuah sistem yang dapat membantu permasalahan tersebut.Perancangan sistem informasi akademik yang dibuat berbasis web dengan menggunakan bahasa pemograman php dan menggunakan Database MySQL. Metode pendekatan sistem yang digunakan adalah metode pendekatan berorientasi objek dimana Sebuah sistem yang dibangun dengan berdasarkan Metode Analisis Berorientasi Objek atau Object Oriented Analysis (OOA). Sedangkan Metode Pengembangan Sistem yang digunakan adalah metode Prototype . Dengan menggunakan tools Unified Modeling Language(UML).Hasil penelitian ini adalah berupa sebuah aplikasi berbentuk web yang diharapkan dapat membantu dalam mengatasi permasalahan yang terjadi, khususnya di SMA AL-FIL Soreang. Keunggulan yang didapat dengan menggunakan aplikasi yaitu data lebih akurat dan lebih mempermudah dalam pengelolaannya.;
5;Pada perusahaan yang bergerak di bidang penjualan, khususnya penjualan produk yang memiliki masa kadaluarsa. Hal yang sangat perlu diperhatikan adalah ketersediaan stok di gudang yang melibihi batas kewajaran. Hal ini dapat menjadi salah satu faktor kerugian di perusahaan. PT. Sinergi Bangun Internasional adalah salah satu perusahaan yang bergerak di bidang penjualan, yang sering mengalami permasalahan diatas. Menganalisis keadaan sistem yang berjalan saat ini, maka diperlukan suatu sistem pendukung keputusan, yang merekomendasikan jumah produksi atau pembelian barang dari supplier untuk periode yang akan datang.Desain penelitian yang digunakan dengan metode deskriptif, metode pengumpulan data menggunakan metode observasi dan wawancara, pendekatan sistem menggunakan pendekatan objek dan dikembangkan menggunakan metode single moving average.Hasil yang di peroleh dari implementasi metode forecast single moving average pada sistem informasi penjualan di PT SBI Surapati core diharapakan bisa morekomendasikan perencanaan re-stok barang di periode yang akan datang dengan lebih akurat dari pada sebelumnya.;
6;Personal Motor adalah salah satu perusahaan yang bergerak di bidang jasa perbaikan kendaraan roda empat (mobil) atau yang biasa disebut bengkel. Memberikan jasa perbaikan mobil yang berkualitas dan pelayanan yang terbaik adalah salah satu yang menarik banyak minat pelanggan untuk melakukan perbaikan di bengkel ini. Memiliki keterbatasan tempat untuk memperbaiki banyaknya mobil yang akan diperbaiki menjadi salah satu alasan pelanggan harus melakukan penjadwalan ulang yang tidak sedikit membuat pelanggan kecewa dan juga terkadang sistem yang sedang digunakan sekarang dapat dikatakan kurang maksimal untuk melakukan pengolahan data pelanggan dan data perbaikan yang ada. Maka dari itu tujuan dari penelitian ini adalah untuk membangun sebuah sistem informasi berbasis website yang dapat mengatasi antrian pelanggan dan mampu mengolah data yang berkaitan dengan perbaikan mobil di bengkel Personal Motor.Metode pendekatan sistem dalam penelitian ini menggunakan metode pendekatan sistem berorientasi objek dengan alat bantu UML dan beberapa diagram tools seperti Usecase diagram, Skenario usecase, Activity diagram, Sequence diagram, Class diagram, Object diagram, Component diagram dan Deployment diagram. Metode pengembangan yang digunakan adalah metode prototype dan untuk bahasa pemrograman website menggunakan PHP dengan alat bantu software berupa XAMPP sebagai server lokal dan MySQL sebagai DBMS. Lalu adapun pengujian yang dilakukan menggunakan metode black box.Hasil dari penelitian yang dilakukan ini adalah terciptanya sebuah sistem informasi yang menjadi solusi dalam hal mengatur arus pelanggan dan dapat digunakan oleh Personal Motor untuk mengolah data pelanggan dan data perbaikan kendaraan menjadi lebih responsif.;
7;Seiring dengan berkembangnya teknologi informasi saat ini mendorong setiap perusahaan/instansi untuk mengikuti perkembangan teknologi yang ada saat ini, terutama teknologi informasi sangat erat kaitannya dengan kegiatan yang berada di perusahaan tersebut. Sistem Informasi terkomputerisasi telah banyak digunakan oleh banyak perusahaan maupun organisasi mengingat hal tersebut menciptakan aliran informasi yang cepat dan tepat waktu. Begitu juga pada Divisi Pengadaan yang ada pada PT.PLN (Persero) yang dituntut untuk dapat melakukan setiap proses bisnis yang ada agar dapat berjalan dengan semestinya. Secara sistem, dalam melakukan kegiatan penyeleksian vendor, pembuatan Surat Perintah Kerja (SPK), dan Monitoring proyek yang terjadi pada Divisi Pengadaan saat ini masih dilakukan secara manual, sehingga rentan terjadinya pembuatan data yang rangkap, sulitnya pencarian data SPK, tidak adanya detail pencatatan proyek yang sedang berjalan, dan sulitnya memeriksa berkas calon vendor karna berkas yang menumpuk.Adapun metode pengembangan yang bersifat prototype, dimana pelanggan dapat bersosialisasi dengan pengembang aplikasi yang diharapkan akan menghasilkan program aplikasi yang memuaskan dan mempermudah dalam setiap proses bisnis yang ada.Hasil yang didapat dari pembangunan sistem informasi pengadaan pada PT.PLN (Persero) diharapkan dapat membantu dalam pembuatan surat perintah kerja (SPK), pencatatan monitoring, dan penyeleksian vendor agar lebih efisien.;
8;Biro Sarpras adalah pelaksana di tingkat Polda Jabar yang bertugas menyelenggarakan pembinaan logistik yang meliputi pembinaan fasilitas, materil dan jasa dilingkungan Polda Jawa Barat. Salah satu informasi yang penting di Biro Sarpras adalah informasi pendistribusian logistik kendaraan roda dua dan perlengkapan untuk anggota polisi. Pendistribusian dilakukan dari Polda Jawa Barat ke seluruh Polres yang ada di Jawa Barat. Sistem pendataan pendistribusian logistik yang ada di Biro Sarana dan Prasarana belum saling terintegrasi dan masih memanfaatkan aplikasi lembar kerja sehingga kurang efektif dan efisien dalam proses pengelolaan pendistribusian kendaraan roda dua, perlengkapan dan pengelolaan laporan. Observasi langsung ke instansi terkait dilakukanya dengan metode pengumpulan data, guna untuk menganalisis data yang dibutuhkan dan menghasilkan sebuah kesimpulan. Implementasi sistem memanfaatkan MySQL sebagai database-nya dan PHP sebagai bahasa pemrograman. Sistem yang dihasilkan diuji dengan metode Black Box Testing. Hasil dari penelitian adalah sebuah aplikasi sistem informasi pendistribusian logistik kendaraan roda dua dan perlengkapan berbasis web.;
9;Toko Cucko Bandung adalah sebuah usaha yang bergerak dalam bidang penjualan sandal cucko yang beralamat di jalan leuwi Anyar VI , Kota Bandung ? Jawa Barat. Toko Cucko ini menyediakan berupa penjualan sandal dan dapat menerima pemesanan sandal sesuai keinginan konsumen, dari model sandal ,warna sandal dan ukuran. Permasalahan saat ini pada Toko Cucko Bandung adalah dalam penjualan, mempromosikan dan pemesanan masih dengan manual ,hal ini kurang efektif karena tidak ada informasi yang detail mengenai sandal pada toko cucko untuk komsumen. Proses pemesanan yang sedang berjalan pada toko cucko bandung masih menggunakan via bbm, whatshap atau datang lansung ke tempat, hat tersebut masih kurang efesien. Pencatatan dan pengecekan data ? data transaksi, data pelanggan, data barang ,masih dilakukan dengan manual dalam arsip dokumen tertulis, kehilangan data masih besar kemungkinan akan rentan terjadi.Metode penelitian yang digunakan adalah dengan wawancara, dokumentasi dan observasi. Adapun metode pendekatan sistem yang digunakan adalah Struktur dengan menggunakan Flowmap sebagai alat bantu untuk merancang sistem yang akan dibuat dengan metode pengembangan sistem ini adalah prototype. Pembangunan Sistem Informasi Penjualan sandal ini menggunakan PHP sebagai Bahasa pemrograman dan XAMPP sebagai database.Dengan adanya Sistem Informasi berbasis Website diharapkan dapat mempermudah proses pelayananpenjulan, pemensanan dan pengolahan data pada perusahaan ini.;
10;Perkembangan Teknologi Informasi untuk sebuah instansi pendidikani seperti sekolah, dimanfaatkan sebagai alat bantu yang tidak hanya menyediakan data, tetapi agar dapat mengolah data agar menghasilkan informasi dengan cepat. SMP Negeri 1 Pamarican merupakan Sekolah Menengah Pertama yang beralamat di Jl. Cikupa No 1 Kec Pamarican Kab Ciamis.Sistem yang berjalan saat ini di SMPN 1 Pamarican masih dilakukan secara manual, sehingga pengarsipan dokumen belum terkomputerisasi, pembagian kelas dan wali kelas, penjadwalan dan penilaian masih menggunakan pencatatan manual. Tujuan penelitian ini yaitu untuk merancang, melakukan pengujian dan implementasi Sistem Informasi Akademik berbasis Desktop.Dalam perancangan penelittian ini metode yang digunakan yaitu pendekatan berorientasi objek, metode pengembangan sistem menggunakan prototype, alat bantu yang digunakan yaitu flow map, dfd, erd, dan normalisasi. Sedangkan aplikasi yang dipilih dalam perancangan ini menggunakan NetBeans dengan Bahasa Pemrograman Java dan menggunakan database MySQL. Dengan adanya Sistem Informasi Akademik di SMPN 1 Pamarican ini, diharapkan calon siswa, staff serta guru dapat lebih maksimal dalam menjalankan peran dan tugasnya. Selain itu juga diharapkan dapat memenuhi kebutuhan sekolah dalam menangani masalah akademik, serta dapat mengelola data dengan baik sehingga dapat memberikan informasi yang lebih cepat dan akurat.;
